"20172505","20172505","201725","default","2021-05-18 16:43:45","2021-05-18 16:43:55","2021-05-18 16:44:27","42","32","NORMAL_UNSPECIFIED","7a999d65-f5b3-445b-9738-5ead388f1ed0","","20172505","opus","opus"
"GiangLe","20172520","*201725","default","2021-05-18 16:43:56","2021-05-18 16:44:06","2021-05-18 16:44:38","42","32","NORMAL_UNSPECIFIED","1dde71e3-b3f6-479b-82bf-0966df6d6789","","20172520","PCMU","PCMU"
"20172505","20172505","201725","default","2021-05-18 16:46:07","2021-05-18 16:46:17","2021-05-18 16:46:49","42","32","NORMAL_UNSPECIFIED","23af6593-3c52-49ec-a110-f7ad1d35807e","","20172505","opus","opus"
"mobile","mobile","201725","public","2021-05-18 16:47:48","","2021-05-18 16:47:48","0","0","NORMAL_CLEARING","82b8f957-8a36-4668-85b0-56bfdb560c77","","","",""
"mobile","mobile","201725","public","2021-05-18 16:48:20","","2021-05-18 16:48:20","0","0","NORMAL_CLEARING","a137ed99-7e94-4f3a-9431-984f55cbb29a","","","",""
"giangdao","1000","201725","default","2021-05-18 16:47:58","2021-05-18 16:48:08","2021-05-18 16:48:40","42","32","NORMAL_UNSPECIFIED","eaa55d22-8ca1-4352-b4bb-c88d8e20e917","","1000","opus","opus"
"mobile","mobile","201725","public","2021-05-18 16:48:42","","2021-05-18 16:48:42","0","0","NORMAL_CLEARING","6f693298-62ff-4b4c-b459-f5cfc9f29a57","","","",""
"20172505","20172505","1000","default","2021-05-18 16:48:17","2021-05-18 16:48:34","2021-05-18 16:49:06","49","32","NORMAL_UNSPECIFIED","85415aef-b940-4844-aeba-49469dd1fd2c","68c50ec5-9c57-4eaa-959a-862eb6403d4d","20172505","opus","opus"
"GiangLe","20172520","*201725","default","2021-05-18 16:49:09","","2021-05-18 16:49:12","3","0","ORIGINATOR_CANCEL","ca041a73-13a6-4cfa-8240-c34c2d324b6e","","20172520","",""
"20172505","20172505","20172520","default","2021-05-18 16:49:02","","2021-05-18 16:49:13","11","0","NORMAL_CLEARING","7c1de23a-8052-4743-89f1-7917af46084d","","20172505","",""
"GiangLe","20172520","20172505","default","2021-05-18 16:49:39","","2021-05-18 16:49:49","10","0","NORMAL_CLEARING","5bf86290-a9d9-4cb1-b47a-d443d537bd86","","20172520","",""
"mobile","mobile","*201725","public","2021-05-18 16:50:34","","2021-05-18 16:50:34","0","0","NORMAL_CLEARING","c604ea71-dd15-4102-b4b9-1d5b0d7369cc","","","",""
"20172505","20172505","201725","default","2021-05-18 17:09:21","2021-05-18 17:09:31","2021-05-18 17:10:03","42","32","NORMAL_UNSPECIFIED","059cb07d-0ab9-486f-aeb5-991ac8aeabff","","20172505","opus","opus"
"GiangLe","20172520","201725","default","2021-05-18 17:09:54","2021-05-18 17:10:04","2021-05-18 17:10:36","42","32","NORMAL_UNSPECIFIED","a47a24e4-5f22-44ca-9551-103dc860fd21","","20172520","PCMU","PCMU"
"GiangLe","20172520","*201725","default","2021-05-18 17:10:30","2021-05-18 17:10:40","2021-05-18 17:11:12","42","32","NORMAL_UNSPECIFIED","decc8b5e-3db2-4e6e-aa8d-c505433e63bf","","20172520","PCMU","PCMU"
